asset,model,horizon_days,threshold,n_folds,n_samples,n_features_A,n_features_B,A_f1_bs,B_f1_bs,delta_f1_bs_mean,delta_f1_bs_std,A_f1_buy,B_f1_buy,delta_f1_buy_mean,delta_f1_buy_std,A_f1_sell,B_f1_sell,delta_f1_sell_mean,delta_f1_sell_std,A_mcc_buy,B_mcc_buy,delta_mcc_buy_mean,delta_mcc_buy_std,A_mcc_sell,B_mcc_sell,delta_mcc_sell_mean,delta_mcc_sell_std,wilcoxon_p_f1_bs
BTC,xgb,7,fixed_0.5%,27,1972,6,43,0.4340018972038887,0.40786947978498644,-0.026132417418902286,0.18730459938262592,0.41960105990144436,0.471347304645488,0.051746244744043636,0.21601459475708518,0.44840273450633306,0.3443916549244849,-0.10401107958184819,0.2816608816852011,0.10582188140170938,0.08848203116775898,-0.01733985023395042,0.24897475991549084,0.07665340988704737,0.09660044762454997,0.019947037737502584,0.26724662501857815,0.39974282681941986
BTC,xgb,7,fixed_1%,27,1972,6,43,0.4005286861215766,0.3877858578035682,-0.012742828318008444,0.1856361846179504,0.3840326439387552,0.42456470527136925,0.040532061332614173,0.24653478341320195,0.4170247283043981,0.351007010335767,-0.06601771796863105,0.2554017266593822,0.10184629881620827,0.07655218291178781,-0.02529411590442048,0.28023241384438446,0.061034356520701515,0.10033260189980979,0.03929824537910828,0.24867951670769364,0.7676084339618683
BTC,xgb,14,fixed_0.5%,27,1965,6,43,0.4342199925099304,0.4728608989435792,0.038640906433648856,0.23441221776788645,0.40535825029709854,0.49602196891402994,0.0906637186169314,0.35402478831943124,0.4630817347227622,0.4496998289731286,-0.0133819057496337,0.3097271610034459,0.0888922165930171,0.2091064693388126,0.12021425274579547,0.28220518659234006,0.09015759684991742,0.21454183288560297,0.12438423603568555,0.2823073977964806,0.4848993334896976
BTC,xgb,14,fixed_1%,27,1965,6,43,0.4095363280766977,0.3877979800796165,-0.02173834799708118,0.24377218221869526,0.37540601222665965,0.4112952950004081,0.03588928277374847,0.34606845821816656,0.44366664392673577,0.3643006651588249,-0.07936597876791084,0.31325281965636265,0.08485834770231439,0.09437542538775322,0.009517077685438838,0.3167392297794731,0.08159694444216138,0.12501778674954253,0.0434208423073811,0.34035846894650323,0.55060588584296
BTC,xgb,30,fixed_0.5%,26,1949,6,43,0.418234333251134,0.42542869874037537,0.007194365489241312,0.2532342037914897,0.4352827803918279,0.4763813635999127,0.04109858320808478,0.35517346082547907,0.40118588611044015,0.3744760338808381,-0.026709852229602125,0.3169068207316484,0.14344836707807887,0.11721534606581067,-0.026233021012268178,0.3367486846867938,0.15373378343922073,0.12845833292460718,-0.025275450514613572,0.32123315368503585,0.6668100981058742
BTC,xgb,30,fixed_1%,26,1949,6,43,0.4129512460649821,0.4046909740134945,-0.008260272051487562,0.2331732113652243,0.4257411412228463,0.46687964089043693,0.0411384996675906,0.30355253532625476,0.4001613509071179,0.3425023071365522,-0.05765904377056573,0.324140324830163,0.16319507854715393,0.13970297677141955,-0.023492101775734346,0.20337052112130988,0.17544566025961658,0.14223951423395495,-0.03320614602566163,0.2390430552707176,0.9249707861129906
ADA,xgb,7,fixed_0.5%,29,2116,6,36,0.46851329134018593,0.5033070115842118,0.03479372024402588,0.15246029061791674,0.36294954742850466,0.3865749435444817,0.023625396115977023,0.1992799676236353,0.5740770352518673,0.6200390796239419,0.04596204437207474,0.23040205447586615,0.0508157656370855,0.1803736428444122,0.12955787720732673,0.21438964847932535,0.043117372348465105,0.1994715818000548,0.1563542094515897,0.22348270753765528,0.1363426134204674
ADA,xgb,7,fixed_1%,29,2116,6,36,0.4530527890458006,0.4982729970609898,0.045220208015189285,0.17141462191278753,0.3383127943086022,0.40600267467875756,0.06768988037015533,0.22618907589775766,0.567792783782999,0.5905433194432221,0.022750535660223246,0.21682292385956187,0.046512156846332836,0.21526519133843766,0.16875303449210483,0.25311410410765234,0.06035220625678349,0.21266869522792525,0.1523164889711418,0.2512726426088458,0.17086648171401575
ADA,xgb,14,fixed_0.5%,29,2109,6,36,0.4185320449252426,0.45556504671659875,0.03703300179135612,0.1778346584820848,0.3290040644277931,0.34171985020464213,0.012715785776848985,0.27954158896731063,0.5080600254226922,0.5694102432285555,0.06135021780586328,0.22186006026258578,0.037076363361829866,0.15647034709310434,0.11939398373127447,0.29133736040796493,0.03891392246822001,0.1742320989045692,0.1353181764363492,0.2790499334270083,0.3623707584699263
ADA,xgb,14,fixed_1%,29,2109,6,36,0.40255177829097044,0.46153627781337053,0.05898449952240012,0.1769168756798109,0.3002979316317019,0.34932557323996444,0.04902764160826257,0.2521029843285843,0.5048056249502391,0.5737469823867767,0.06894135743653765,0.21876961347639517,0.0045097795371216625,0.17498821132540449,0.1704784317882828,0.28922119894099174,0.032952004079725025,0.20054132117091103,0.16758931709118602,0.31116663132294864,0.1104210764169693
ADA,xgb,30,fixed_0.5%,28,2093,6,36,0.42103907849244704,0.39360185840041584,-0.02743722009203124,0.1807396065137655,0.30037558359040306,0.2804142008865277,-0.019961382703875336,0.2708758039643972,0.541702573394491,0.5067895159143039,-0.03491305748018715,0.3195955575564677,0.03337901379977886,0.10580969392363412,0.07243068012385524,0.2392525441309127,0.042653834537619395,0.0997322045169222,0.05707836997930281,0.2528936620624361,0.43800119310617447
ADA,xgb,30,fixed_1%,28,2093,6,36,0.3965840948329388,0.42616309738945135,0.02957900255651242,0.18760275207008417,0.26606898898843806,0.29223431407415984,0.02616532508572181,0.31907916189177105,0.5270992006774395,0.5600918807047427,0.03299268002730303,0.2585273490288435,-0.005057520946797462,0.1333266949058419,0.13838421585263935,0.30191681223506833,0.013762935499016388,0.1316386904486017,0.11787575494958531,0.3473205018399468,0.8290790993681643
BTC,lr,7,fixed_0.5%,27,1972,6,43,0.17202716969461368,0.19012735902933434,0.018100189334720726,0.16793952500483597,0.1813816238378467,0.2063196159701476,0.02493799213230086,0.16176554038757318,0.16267271555138058,0.17393510208852114,0.011262386537140576,0.25240906433564536,0.03753641687728217,-0.07923228865995632,-0.1167687055372385,0.16289986458051364,0.004024800138841703,0.0041833403997536215,0.0001585402609119209,0.27767188519282826,0.3457539786772782
