asset,indicator,horizon_days,rank_ic,p_nonoverlap
BTC,MVRV,30,0.11638647892484678,0.33526081659886103
BTC,MVRV,90,0.1202622869771985,0.6026018244468968
BTC,MVRV,180,0.033014573572054395,0.6893090205863619
BTC,Puell,30,0.10953428827542855,0.37020670690813245
BTC,Puell,90,0.212237117526947,0.3422352820628643
BTC,Puell,180,0.18467196338135938,0.46003032896572005
BTC,NVT,30,-0.01539287338829217,0.7319309650125582
BTC,NVT,90,-0.11526570313622182,0.6215335332115488
BTC,NVT,180,-0.28728036323966544,0.42529108737707283
BTC,COMPOSITE,30,0.10087227318539946,0.38079436791087046
BTC,COMPOSITE,90,0.11392429721322386,0.5576050209778783
BTC,COMPOSITE,180,0.007551320768090733,0.6598063055698293
ADA,MVRV,30,0.04455188872871781,0.6225443195048523
ADA,MVRV,90,0.034393146720757266,0.7829727475493093
ADA,MVRV,180,0.031924935638282664,0.5554454421055853
ADA,NVT,30,0.12013907710823081,0.29478054398666365
ADA,NVT,90,0.17189952252184793,0.48255085234721073
ADA,NVT,180,0.1361326869123962,0.6695786456420787
ADA,COMPOSITE,30,0.10052205286204417,0.37569551301590504
ADA,COMPOSITE,90,0.10891124096179834,0.6009433644179241
ADA,COMPOSITE,180,0.09347276041936754,0.6500339654975799
