asset,indicator,event,n_events,fwd_7d,fwd_30d,fwd_90d,fwd_180d
BTC,MVRV,expensive extreme (>0.95),9,0.024448034340289478,0.15551598740750724,0.6030508308729903,1.650143048441645
BTC,MVRV,cheap extreme (<0.05),11,-0.017287361442304774,-0.07489555019283302,-0.06529291034842034,0.10874121439622318
BTC,Puell,expensive extreme (>0.95),0,,,,
BTC,Puell,cheap extreme (<0.05),33,0.006248383035398565,0.004511744430701919,-0.004507760175469113,-0.026942160510441675
BTC,NVT,expensive extreme (>0.95),22,0.027800134528627365,0.11071674712797795,0.526525544965486,0.8706134915339221
BTC,NVT,cheap extreme (<0.05),0,,,,
ADA,MVRV,expensive extreme (>0.95),14,0.08406757297633059,0.4268020775327087,2.546721587150284,3.507477676557252
ADA,MVRV,cheap extreme (<0.05),4,0.043116514733853584,0.3308697693613752,0.3515101155654615,0.07426781779555003
ADA,NVT,expensive extreme (>0.95),18,0.03837456303497414,0.25233573241855195,1.3255425417218178,2.9977938173738288
ADA,NVT,cheap extreme (<0.05),8,-0.08258795313445975,-0.125450196111697,-0.23760590400734077,0.016818904038018168
