time,asset,PriceUSD,CapMrktCurUSD,TxCnt,AdrActCnt,CapMVRVCur,HashRate,FlowInExUSD,FlowOutExUSD,IssTotUSD,FeeTotNtv,NVT_Tx_Basis,Activity_Velocity,FearGreedValue
2020-01-01,btc,7170.63186879018,130044373322.33379,251867.0,524360.0,1.28743526,112929774.50430365,80693523.99722832,60461560.137709655,15596124.314618642,9.88624584,,0.4803322145091159,37.0
2020-01-02,btc,6946.82526914085,125997729470.88751,291935.0,671016.0,1.24755453,96717718.31238091,279146401.7905443,163300993.21011442,12243779.536860747,13.72092988,,0.4350641415405892,39.0
2020-01-03,btc,7315.3093603156,132696546617.94122,323153.0,721747.0,1.31328518,115924073.72193182,216666040.39154914,205689398.86137316,15453591.023666704,16.61093093,,0.447737226479639,38.0
2020-01-04,btc,7343.16419438925,133217241900.65343,282301.0,611397.0,1.3185072500000001,115238132.457305,130594582.24770047,84164077.07311237,15420644.808217425,12.14848956,,0.46173108471255175,38.0
2020-01-05,btc,7345.53069181765,133275140628.50085,288212.0,597061.0,1.31891454,111808426.13417092,73508053.6842539,73310955.70164922,14966518.784578461,11.89008149,,0.48271784625021563,39.0
2020-01-06,btc,7765.7977346581,140913446583.57416,297843.0,724219.0,1.39343235,92602070.72462001,225051208.75834584,213023108.54888564,13104783.677235544,20.52394116,,0.4112609583565192,41.0
2020-01-07,btc,8136.08684190532,147650387097.9029,347212.0,775757.0,1.45871525,120725662.57431954,266022946.8711053,217389815.20929217,17899391.052191705,25.8148978,,0.4475783009370202,40.0
2020-01-08,btc,8059.69952887201,146278447249.11566,318633.0,754553.0,1.44434936,97403659.57700774,271938035.0991,237663445.54866293,14305966.663747817,31.09413688,,0.42228047599042084,51.0
2020-01-09,btc,7817.13609322034,141891415486.24527,322838.0,773570.0,1.40023893,107692778.54641,227419124.35212043,202798693.87280872,15341129.582944917,29.98803411,,0.4173352120687204,44.0
2020-01-10,btc,8129.81791992987,147582148237.8166,332463.0,792103.0,1.4552017800000001,102205248.42939548,279460974.9529646,306581176.6416583,15141785.875869382,32.45580749,,0.41972193010252457,41.0
2020-01-11,btc,8032.00549503215,145822905688.42953,303555.0,640445.0,1.43755242,111808426.13417092,107299098.87441549,122332572.61455959,16365211.196128005,17.8069863,,0.47397512666973746,50.0
2020-01-12,btc,8164.54999316189,148244692101.63885,278853.0,581504.0,1.46084233,103577130.9586491,72209962.22979395,86471930.78924923,15410588.112093067,14.32472421,,0.47953754402377285,45.0
2020-01-13,btc,8121.92566762127,147485275164.18646,299786.0,705443.0,1.45276596,98089600.84163456,238965373.02899513,220054176.86450118,14517942.13087302,18.08368461,,0.42496133635176764,49.0
2020-01-14,btc,8830.16787346581,160362182649.78302,346978.0,850757.0,1.57463765,99850250.9686384,521290743.95279205,372374724.1900447,16004679.270656781,26.53385378,,0.4078461887471981,56.0
2020-01-15,btc,8811.44820251315,160038851605.64972,328833.0,759192.0,1.56868373,110915119.36618419,444069161.0713882,391837341.55480456,16631608.482243571,31.00065728,,0.43313549141719093,54.0
2020-01-16,btc,8718.68699801286,158371394895.92358,326587.0,739283.0,1.5507862700000001,116791417.08094886,250180267.73538142,281535519.8849583,17328390.40855056,23.75953935,,0.4417618151641523,55.0
2020-01-17,btc,8912.54190414962,161910403912.36758,323884.0,756728.0,1.58368313,116791417.08094886,263279634.88343608,279906482.4566171,17713677.03449737,24.37864596,,0.4280058356503261,54.0
2020-01-18,btc,8928.1807565751,162209239871.51685,290970.0,649187.0,1.58583813,96958912.29361789,130389651.33304174,113057563.86467446,14731498.248348914,18.18036187,,0.448206757066916,51.0
2020-01-19,btc,8687.35483664524,157850148001.62515,282105.0,622774.0,1.54314165,110180582.1518386,134070757.30180939,137951725.73655674,16288790.318709824,16.02521748,,0.45298133833461257,53.0
2020-01-20,btc,8636.2587862069,156938136300.68027,312967.0,741539.0,1.5341389200000002,111649656.58052978,208230851.22751337,224076867.93753913,16408891.69379311,17.8483709,,0.4220506271416608,48.0
2020-01-21,btc,8730.86756019871,158674065182.0027,311835.0,756250.0,1.5503965000000002,112384193.79487537,245495964.85373366,249511518.96250662,16697784.208880033,20.60207064,,0.4123438016528926,49.0
2020-01-22,btc,8647.90047399182,157183091622.76913,326380.0,771727.0,1.53544323,114587805.43791209,255656417.0119228,305104340.3554035,16863405.92428405,21.32645178,,0.4229215771898612,52.0
2020-01-23,btc,8366.38461396844,152082924891.57297,337280.0,789764.0,1.48547764,116791417.08094886,221365610.50674182,223660853.68517497,16628189.420262275,21.59230675,,0.4270642875593215,49.0
2020-01-24,btc,8423.39095815313,153135182382.82776,311823.0,720051.0,1.49494018,111649656.58052978,227287040.4196245,239153054.53840595,16004442.820490947,15.67738221,,0.43305682514155247,40.0
2020-01-25,btc,8344.77456896552,151723062490.33078,283292.0,665971.0,1.4807681000000001,120464103.15267676,70461158.39108236,76971427.2658962,17106787.866379317,11.37557861,,0.42538188599803894,41.0
2020-01-26,btc,8573.87480958504,155903844151.00034,256739.0,544915.0,1.5209573299999999,105038821.65141945,118956185.43586081,77242675.56258245,15325801.222133258,10.36229717,,0.4711542167126983,42.0
2020-01-27,btc,8901.95928486265,161883952905.7292,285400.0,726725.0,1.5779271000000001,94755300.65058112,233057811.88337573,213911948.58233464,14354409.346841022,20.76459228,,0.39272076782827064,50.0
2020-01-28,btc,9297.3883176505,169091413723.46133,339784.0,812560.0,1.64585254,107492950.68599442,379628526.5279455,205846564.62449265,16502864.263829637,22.34831969,550305.7106771932,0.41816481244461945,54.0
2020-01-29,btc,9311.94754354179,169374825966.0464,340075.0,767507.0,1.6452865600000002,123011831.71279211,296590588.1246241,209196144.68568695,18623895.08708358,20.28226774,545633.9262637319,0.44309042132514753,57.0
2020-01-30,btc,9508.92096493279,172976113948.8801,332584.0,765495.0,1.67702648,119936535.91997233,277654483.54593325,294348199.8473516,18542395.88161894,19.90003677,554641.404770488,0.43446919966818853,57.0
2020-01-31,btc,9357.28478240795,170234553906.81723,329369.0,762130.0,1.64732688,110710648.54151301,237874893.32233518,310812807.75532216,16843112.60833431,22.2899417,545462.4165400404,0.43216905252384763,55.0
2020-02-01,btc,9381.88602863822,170699826042.57834,304884.0,743933.0,1.650978,116092416.17894764,117318311.65294734,102703974.73462285,17708309.87905464,17.75920966,545543.3923154725,0.409827229064983,57.0
2020-02-02,btc,9339.38706312098,169943267782.81882,292383.0,706042.0,1.6435675600000001,109941824.59330806,128561202.50955012,127356764.52004673,16694154.375328751,16.59845485,542867.0436348327,0.4141155908572011,57.0
2020-02-03,btc,9279.81252051432,168876392941.6707,336226.0,879860.0,1.6319591,113785944.3343328,276202335.80294806,235904372.6675901,17167653.16295149,21.95770671,537107.0498131334,0.38213579433091627,59.0
2020-02-04,btc,9161.62719772063,166740743006.20746,307816.0,764885.0,1.61069803,101484761.16305356,237210506.02278882,199821101.56142673,15116684.876239039,23.85357125,532698.4567857969,0.4024343528765762,56.0
2020-02-05,btc,9628.13677586207,175250308848.13208,363153.0,823713.0,1.6908681300000001,122243007.76458718,333077961.47592634,257957169.6620845,19135921.842025865,24.99615264,557054.905485613,0.44087321676360575,53.0
2020-02-06,btc,9739.2804364699,177289768826.43756,321928.0,765225.0,1.7057167500000001,103791233.00766842,342761690.4850656,300395018.4398062,16435035.736542957,28.15307607,563595.8051379429,0.42069718056780686,61.0
