asset,feature,lag,granger_p,n,granger_q
BTC,AdrActCnt,1,0.23916521710331407,2342,0.798752726041765
BTC,AdrActCnt,3,0.673783760051336,2340,0.9879290816147767
BTC,AdrActCnt,7,0.13552150747326216,2336,0.6178740003057972
BTC,AdrActCnt,14,0.028029917054105208,2329,0.5242220694330604
BTC,CapMVRVCur,1,0.0625917738455235,2342,0.5242220694330604
BTC,CapMVRVCur,3,0.005968000685690657,2340,0.3342080383986768
BTC,CapMVRVCur,7,0.07547418407628018,2336,0.5242220694330604
BTC,CapMVRVCur,14,0.09776989100152411,2329,0.5866193460091447
BTC,HashRate,1,0.4409146902517286,2342,0.9846446549514539
BTC,HashRate,3,0.7460887400712624,2340,0.9879290816147767
BTC,HashRate,7,0.9718561620614645,2336,0.995559970892232
BTC,HashRate,14,0.9858472344376206,2329,0.9977249119609654
BTC,FlowInExUSD,1,0.46149396369780066,2342,0.9846446549514539
BTC,FlowInExUSD,3,0.7606903047465641,2340,0.9879290816147767
BTC,FlowInExUSD,7,0.4161157814278328,2336,0.9709368233316099
BTC,FlowInExUSD,14,0.8059290838926045,2329,0.9879290816147767
BTC,FlowOutExUSD,1,0.694109760903153,2342,0.9879290816147767
BTC,FlowOutExUSD,3,0.8958607397987158,2340,0.9879290816147767
BTC,FlowOutExUSD,7,0.6011500573736315,2336,0.9879290816147767
BTC,FlowOutExUSD,14,0.6883580416820778,2329,0.9879290816147767
BTC,IssTotUSD,1,0.08381620808916888,2342,0.5415816522684759
BTC,IssTotUSD,3,0.1926270050319846,2340,0.7317466765740374
BTC,IssTotUSD,7,0.20035920906193883,2336,0.7317466765740374
BTC,IssTotUSD,14,0.3197600769076696,2329,0.9194539272176028
BTC,FeeTotNtv,1,0.5958709424372667,2342,0.9879290816147767
BTC,FeeTotNtv,3,0.9173479379904671,2340,0.9879290816147767
BTC,FeeTotNtv,7,0.9408848396331206,2336,0.9879290816147767
BTC,FeeTotNtv,14,0.9600750668671306,2329,0.995559970892232
BTC,NVT_Tx_Basis,1,0.07800923652277685,2315,0.5242220694330604
BTC,NVT_Tx_Basis,3,0.0559028186110369,2313,0.5242220694330604
BTC,NVT_Tx_Basis,7,0.19567801517566535,2309,0.7317466765740374
BTC,NVT_Tx_Basis,14,0.24006908635273294,2302,0.798752726041765
BTC,Activity_Velocity,1,0.6544900256964471,2342,0.9879290816147767
BTC,Activity_Velocity,3,0.8532982478378534,2340,0.9879290816147767
BTC,Activity_Velocity,7,0.7857806239574364,2336,0.9879290816147767
BTC,Activity_Velocity,14,0.877885020670726,2329,0.9879290816147767
BTC,FearGreedValue,1,0.6337252856944868,2339,0.9879290816147767
BTC,FearGreedValue,3,0.5087042565883393,2335,0.9879290816147767
BTC,FearGreedValue,7,0.6315119341150267,2327,0.9879290816147767
BTC,FearGreedValue,14,0.5241545273753265,2313,0.9879290816147767
BTC,Tx_Intensity,1,0.6544900256964471,2342,0.9879290816147767
BTC,Tx_Intensity,3,0.8532982478378534,2340,0.9879290816147767
BTC,Tx_Intensity,7,0.7857806239574364,2336,0.9879290816147767
BTC,Tx_Intensity,14,0.877885020670726,2329,0.9879290816147767
BTC,Velocity_Momentum,1,0.19205045464912476,2335,0.7317466765740374
BTC,Velocity_Momentum,3,0.5601850358016174,2333,0.9879290816147767
BTC,Velocity_Momentum,7,0.8030136825918288,2329,0.9879290816147767
BTC,Velocity_Momentum,14,0.971597324619441,2322,0.995559970892232
BTC,Tx_Intensity_lag_1d,1,0.8925916245288734,2341,0.9879290816147767
BTC,Tx_Intensity_lag_1d,3,0.8570096488727375,2339,0.9879290816147767
BTC,Tx_Intensity_lag_1d,7,0.8302287415737764,2335,0.9879290816147767
BTC,Tx_Intensity_lag_1d,14,0.8716819017786458,2328,0.9879290816147767
BTC,AdrActCnt_lag_1d,1,0.704806523112029,2341,0.9879290816147767
BTC,AdrActCnt_lag_1d,3,0.7434227861129996,2339,0.9879290816147767
BTC,AdrActCnt_lag_1d,7,0.24723298663197485,2335,0.798752726041765
BTC,AdrActCnt_lag_1d,14,0.03556122518079582,2328,0.5242220694330604
BTC,NVT_Tx_Basis_lag_1d,1,0.4923084105510826,2314,0.9879290816147767
BTC,NVT_Tx_Basis_lag_1d,3,0.07791686933787206,2312,0.5242220694330604
BTC,NVT_Tx_Basis_lag_1d,7,0.12136214323764824,2308,0.5996717665860266
BTC,NVT_Tx_Basis_lag_1d,14,0.36613169819620917,2301,0.9194539272176028
BTC,Velocity_Momentum_lag_1d,1,0.5692378606194123,2334,0.9879290816147767
BTC,Velocity_Momentum_lag_1d,3,0.934304194860994,2332,0.9879290816147767
BTC,Velocity_Momentum_lag_1d,7,0.969282686494446,2328,0.995559970892232
BTC,Velocity_Momentum_lag_1d,14,0.9979976591825861,2321,0.9979976591825861
BTC,Tx_Intensity_lag_3d,1,0.8973069851005435,2339,0.9879290816147767
BTC,Tx_Intensity_lag_3d,3,0.8097274109783072,2337,0.9879290816147767
BTC,Tx_Intensity_lag_3d,7,0.5632493843372135,2333,0.9879290816147767
BTC,Tx_Intensity_lag_3d,14,0.8667677530553465,2326,0.9879290816147767
BTC,AdrActCnt_lag_3d,1,0.49650114883707264,2339,0.9879290816147767
BTC,AdrActCnt_lag_3d,3,0.5221640112711176,2337,0.9879290816147767
BTC,AdrActCnt_lag_3d,7,0.06941090696811306,2333,0.5242220694330604
BTC,AdrActCnt_lag_3d,14,0.035097215273438426,2326,0.5242220694330604
BTC,NVT_Tx_Basis_lag_3d,1,0.14813568675968114,2312,0.6381229583493957
BTC,NVT_Tx_Basis_lag_3d,3,0.5523812569165153,2310,0.9879290816147767
BTC,NVT_Tx_Basis_lag_3d,7,0.11812118938368647,2306,0.5996717665860266
BTC,NVT_Tx_Basis_lag_3d,14,0.46887840711973994,2299,0.9846446549514539
BTC,Velocity_Momentum_lag_3d,1,0.8004806458032832,2332,0.9879290816147767
BTC,Velocity_Momentum_lag_3d,3,0.8381411542178158,2330,0.9879290816147767
BTC,Velocity_Momentum_lag_3d,7,0.9275390344425964,2326,0.9879290816147767
BTC,Velocity_Momentum_lag_3d,14,0.9937244260827992,2319,0.9979976591825861
BTC,Tx_Intensity_lag_7d,1,0.600330426247319,2335,0.9879290816147767
BTC,Tx_Intensity_lag_7d,3,0.4645163255403094,2333,0.9846446549514539
BTC,Tx_Intensity_lag_7d,7,0.6107578475222013,2329,0.9879290816147767
BTC,Tx_Intensity_lag_7d,14,0.8583951763143831,2322,0.9879290816147767
BTC,AdrActCnt_lag_7d,1,0.9336936591062681,2335,0.9879290816147767
BTC,AdrActCnt_lag_7d,3,0.0287105864783249,2333,0.5242220694330604
BTC,AdrActCnt_lag_7d,7,0.013904762530609769,2329,0.46720002102848823
BTC,AdrActCnt_lag_7d,14,0.012218488570461598,2322,0.46720002102848823
BTC,NVT_Tx_Basis_lag_7d,1,0.06816715560020965,2308,0.5242220694330604
BTC,NVT_Tx_Basis_lag_7d,3,0.06885031481112541,2306,0.5242220694330604
BTC,NVT_Tx_Basis_lag_7d,7,0.040065476029529826,2302,0.5242220694330604
BTC,NVT_Tx_Basis_lag_7d,14,0.667754532492246,2295,0.9879290816147767
BTC,Velocity_Momentum_lag_7d,1,0.7356379660005532,2328,0.9879290816147767
BTC,Velocity_Momentum_lag_7d,3,0.7548031506163697,2326,0.9879290816147767
BTC,Velocity_Momentum_lag_7d,7,0.920007554719408,2322,0.9879290816147767
BTC,Velocity_Momentum_lag_7d,14,0.817121148599097,2315,0.9879290816147767
BTC,Tx_Intensity_lag_14d,1,0.6351275297438611,2328,0.9879290816147767
BTC,Tx_Intensity_lag_14d,3,0.8862294402399489,2326,0.9879290816147767
BTC,Tx_Intensity_lag_14d,7,0.8402467957113963,2322,0.9879290816147767
BTC,Tx_Intensity_lag_14d,14,0.6480295228538145,2315,0.9879290816147767
BTC,AdrActCnt_lag_14d,1,0.30968440453309753,2328,0.9194539272176028
BTC,AdrActCnt_lag_14d,3,0.5751504195938888,2326,0.9879290816147767
BTC,AdrActCnt_lag_14d,7,0.4144718933696091,2322,0.9709368233316099
BTC,AdrActCnt_lag_14d,14,0.35691462498049226,2315,0.9194539272176028
BTC,NVT_Tx_Basis_lag_14d,1,0.711301248974048,2301,0.9879290816147767
BTC,NVT_Tx_Basis_lag_14d,3,0.44166318340171307,2299,0.9846446549514539
BTC,NVT_Tx_Basis_lag_14d,7,0.7362906500096621,2295,0.9879290816147767
BTC,NVT_Tx_Basis_lag_14d,14,0.053667633730418475,2288,0.5242220694330604
BTC,Velocity_Momentum_lag_14d,1,0.5479613398171507,2321,0.9879290816147767
BTC,Velocity_Momentum_lag_14d,3,0.9279437241776455,2319,0.9879290816147767
BTC,Velocity_Momentum_lag_14d,7,0.7351737145786824,2315,0.9879290816147767
BTC,Velocity_Momentum_lag_14d,14,0.7551799121394714,2308,0.9879290816147767
BTC,Tx_Intensity_lag_30d,1,0.9808427241579547,2312,0.9977249119609654
BTC,Tx_Intensity_lag_30d,3,0.4294093518190961,2310,0.9846446549514539
BTC,Tx_Intensity_lag_30d,7,0.36221998651308257,2306,0.9194539272176028
BTC,Tx_Intensity_lag_30d,14,0.7564853401039351,2299,0.9879290816147767
BTC,AdrActCnt_lag_30d,1,0.5144853962824589,2312,0.9879290816147767
BTC,AdrActCnt_lag_30d,3,0.9317966888598355,2310,0.9879290816147767
BTC,AdrActCnt_lag_30d,7,0.2675970361871233,2306,0.8325241125821615
BTC,AdrActCnt_lag_30d,14,0.04135937507098726,2299,0.5242220694330604
BTC,NVT_Tx_Basis_lag_30d,1,0.04588604204449308,2285,0.5242220694330604
BTC,NVT_Tx_Basis_lag_30d,3,0.042446973651415684,2283,0.5242220694330604
BTC,NVT_Tx_Basis_lag_30d,7,0.11049395888207673,2279,0.5988059707157707
BTC,NVT_Tx_Basis_lag_30d,14,0.22731612319196187,2272,0.7956064311718666
BTC,Velocity_Momentum_lag_30d,1,0.771109202973327,2305,0.9879290816147767
BTC,Velocity_Momentum_lag_30d,3,0.6779014955771898,2303,0.9879290816147767
BTC,Velocity_Momentum_lag_30d,7,0.6832572819587672,2299,0.9879290816147767
BTC,Velocity_Momentum_lag_30d,14,0.785215320883017,2292,0.9879290816147767
BTC,Price_Dist_lag_30d,1,0.6711876798156671,2312,0.9879290816147767
BTC,Price_Dist_lag_30d,3,0.6604921813373406,2310,0.9879290816147767
BTC,Price_Dist_lag_30d,7,0.12107024983209337,2306,0.5996717665860266
BTC,Price_Dist_lag_30d,14,0.18785957598399705,2299,0.7317466765740374
BTC,Price_Dist_lag_90d,1,0.19911264790060182,2252,0.7317466765740374
BTC,Price_Dist_lag_90d,3,0.26171626579068413,2250,0.8295911821289611
BTC,Price_Dist_lag_90d,7,0.1086815660547098,2246,0.5988059707157707
BTC,Price_Dist_lag_90d,14,0.2768561581202682,2239,0.8456697193491829
BTC,Price_Dist_lag_182d,1,0.7488851895899604,2160,0.9879290816147767
BTC,Price_Dist_lag_182d,3,0.7081370773212767,2158,0.9879290816147767
BTC,Price_Dist_lag_182d,7,0.3613206592490406,2154,0.9194539272176028
BTC,Price_Dist_lag_182d,14,0.0747274530225429,2147,0.5242220694330604
BTC,Price_vs_MA7,1,0.8217542342752056,2336,0.9879290816147767
BTC,Price_vs_MA7,3,0.338206815330478,2334,0.9194539272176028
BTC,Price_vs_MA7,7,4.530103785808234e-09,2330,7.610574360157834e-07
BTC,Price_vs_MA7,14,4.117526559910898e-08,2323,3.4587223103251546e-06
BTC,Volatility_30d,1,0.10976542317857692,2312,0.5988059707157707
BTC,Volatility_30d,3,0.3666869828784487,2310,0.9194539272176028
BTC,Volatility_30d,7,0.345947404422835,2306,0.9194539272176028
BTC,Volatility_30d,14,0.3326027994239078,2299,0.9194539272176028
BTC,ExchangeNetFlow,1,0.07004447118562927,2342,0.5242220694330604
BTC,ExchangeNetFlow,3,0.35028496726680514,2340,0.9194539272176028
BTC,ExchangeNetFlow,7,0.6257754070263989,2336,0.9879290816147767
BTC,ExchangeNetFlow,14,0.6881287173945043,2329,0.9879290816147767
BTC,ExchangeNetFlow_7d_MA,1,0.12691989270735918,2336,0.6092154849953241
BTC,ExchangeNetFlow_7d_MA,3,0.1397572143548827,2334,0.6178740003057972
BTC,ExchangeNetFlow_7d_MA,7,0.46466836113995436,2330,0.9846446549514539
BTC,ExchangeNetFlow_7d_MA,14,0.32348006423156567,2323,0.9194539272176028
BTC,Puell_Multiple,1,0.18027408576590057,1978,0.7317466765740374
BTC,Puell_Multiple,3,0.24622177367590586,1976,0.798752726041765
BTC,Puell_Multiple,7,0.09538947518638775,1972,0.5866193460091447
BTC,Puell_Multiple,14,0.05816200709362218,1965,0.5242220694330604
BTC,HashRate_30d_MA,1,0.20783750352747724,2313,0.7429085232471526
BTC,HashRate_30d_MA,3,0.40649715194383207,2311,0.9709368233316099
BTC,HashRate_30d_MA,7,0.849719543779341,2307,0.9879290816147767
BTC,HashRate_30d_MA,14,0.9367182025556741,2300,0.9879290816147767
BTC,HashRate_vs_MA30,1,0.1394652369086744,2313,0.6178740003057972
BTC,HashRate_vs_MA30,3,0.4668684108408112,2311,0.9846446549514539
BTC,HashRate_vs_MA30,7,0.38578847223408447,2307,0.9531244608136205
BTC,HashRate_vs_MA30,14,0.4130922643900938,2300,0.9709368233316099
ADA,AdrActCnt,1,0.402006837178473,2342,0.9378700171892318
ADA,AdrActCnt,3,0.6609693324251111,2340,0.9378700171892318
ADA,AdrActCnt,7,0.3774955730671872,2336,0.9378700171892318
ADA,AdrActCnt,14,0.443116442258178,2329,0.9378700171892318
ADA,CapMVRVCur,1,0.3592927204747453,2342,0.9378700171892318
ADA,CapMVRVCur,3,0.16216935910376795,2340,0.9378700171892318
ADA,CapMVRVCur,7,0.30547342163511504,2336,0.9378700171892318
ADA,CapMVRVCur,14,0.3876673616836127,2329,0.9378700171892318
ADA,SplyCur,1,0.30672923777864136,2342,0.9378700171892318
ADA,SplyCur,3,0.3140462688394773,2340,0.9378700171892318
ADA,SplyCur,7,0.5493816322543664,2336,0.9378700171892318
ADA,SplyCur,14,0.2629809510894925,2329,0.9378700171892318
ADA,NVT_Tx_Basis,1,0.8146368197512609,2315,0.9378700171892318
ADA,NVT_Tx_Basis,3,0.3723816149911877,2313,0.9378700171892318
ADA,NVT_Tx_Basis,7,0.44812150063137857,2309,0.9378700171892318
ADA,NVT_Tx_Basis,14,0.4616689314849568,2302,0.9378700171892318
ADA,Activity_Velocity,1,0.6069325055418667,2342,0.9378700171892318
ADA,Activity_Velocity,3,0.8936030743018872,2340,0.9378700171892318
ADA,Activity_Velocity,7,0.7650473661843314,2336,0.9378700171892318
ADA,Activity_Velocity,14,0.9323283522778448,2329,0.9527443015977977
ADA,FearGreedValue,1,0.8699008272845316,2339,0.9378700171892318
ADA,FearGreedValue,3,0.5465988739628487,2335,0.9378700171892318
ADA,FearGreedValue,7,0.883043183920809,2327,0.9378700171892318
ADA,FearGreedValue,14,0.6863933776394119,2313,0.9378700171892318
ADA,ActiveStakeADA,1,0.2670295930429641,2122,0.9378700171892318
ADA,ActiveStakeADA,3,0.5726476365234127,2120,0.9378700171892318
ADA,ActiveStakeADA,7,0.4993586764582636,2116,0.9378700171892318
ADA,ActiveStakeADA,14,0.254318477403706,2109,0.9378700171892318
ADA,Tx_Intensity,1,0.6069325055421015,2342,0.9378700171892318
ADA,Tx_Intensity,3,0.8936030743018872,2340,0.9378700171892318
ADA,Tx_Intensity,7,0.7650473661843715,2336,0.9378700171892318
ADA,Tx_Intensity,14,0.9323283522778448,2329,0.9527443015977977
ADA,Velocity_Momentum,1,0.42942008964356626,2335,0.9378700171892318
ADA,Velocity_Momentum,3,0.8791668383929855,2333,0.9378700171892318
ADA,Velocity_Momentum,7,0.7528774363968129,2329,0.9378700171892318
ADA,Velocity_Momentum,14,0.8256011867600278,2322,0.9378700171892318
