asset,model,horizon_days,n_oos,n_samples,A_r2,B_r2,persist_r2,A_corr,B_corr,persist_corr,err_reduction_pct,wilcoxon_p_naive,wilcoxon_p
BTC,xgb,7,789,1972,-0.29981759995013424,-0.2802136827375905,-0.3912425732762028,0.25510094326654337,0.14255611131891502,0.27686208075163166,1.5082052445893832,0.19383843363093245,0.5715251391490161
BTC,xgb,14,786,1965,-0.4249121285449786,-0.3390146844324975,-0.4065234952790766,0.2636394864372087,0.1477636452567179,0.37838099287981164,6.028262542771218,0.5576386621959527,0.49068354816403104
BTC,xgb,30,780,1949,-0.7347889446384701,-0.1404448520384196,-0.6164371125862413,0.11936076891041646,0.2885665998287814,0.26197489071885643,34.260311286679986,2.1723625176553995e-18,0.10998931527137756
ADA,xgb,7,847,2116,0.007799896432182929,-0.02289563573214015,-0.38948978188541394,0.28466522741738876,0.2695762399103518,0.23297303981859288,-3.093683628327198,0.36558892811247634,0.46811939234745537
ADA,xgb,14,844,2109,-0.02091524360483299,-0.01002134318527892,-0.5037307478858519,0.3250719190000095,0.3630053115817591,0.23065326477700648,1.067071971722931,0.9173695566119007,0.5793111210575335
ADA,xgb,30,838,2093,-0.10691727222429281,0.13766442038308746,-0.454237837746571,0.40677777773812795,0.46495209619243394,0.28435524414426894,22.095751755314662,2.9439668510227333e-06,0.12279621884226799
BTC,ridge,7,789,1972,0.07749145011878644,-0.06820874679972944,-0.3912425732762028,0.34738551927661127,0.2179856239902137,0.27686208075163166,-15.793912905986282,4.202674695408693e-06,0.05884294967476189
BTC,ridge,14,786,1965,0.00488582591986908,-0.1770777057681332,-0.4065234952790766,0.3789831096545094,0.20005090747202453,0.37838099287981164,-18.28569388595098,0.00013941136287067918,0.20667785199561534
BTC,ridge,30,780,1949,-0.15209572424583495,-0.3210508425320484,-0.6164371125862413,0.3457026366932531,0.15064390309648767,0.26197489071885643,-14.665024331794282,0.06331309717865995,0.6170915961265564
ADA,ridge,7,847,2116,0.011255425439558486,-0.03729221954231887,-0.38948978188541394,0.303331110454938,0.310979107628865,0.23297303981859288,-4.9100289630878375,0.0006204787712569374,0.22066685815089526
ADA,ridge,14,844,2109,0.011471954534258422,-0.04801628222695076,-0.5037307478858519,0.33845301565970026,0.3427627989480028,0.23065326477700648,-6.017860295828166,0.0015884242180654554,0.4714095898994425
ADA,ridge,30,838,2093,0.010122990023958445,-0.1317194133939732,-0.454237837746571,0.32159417431937837,0.34510367099636957,0.28435524414426894,-14.329295658797518,2.855229147891894e-06,0.4723552092909813
